,price_tnd,Area,room,bathroom,state,latt,long,distance_to_capital,garage,concierge,beach_view,mountain_view,pool,elevator,furnished,equipped_kitchen,central_heating,air_conditioning
261,1700000.0,667.0,6.0,2.0,1.0,33.8869,9.5375,327.765254316544,1,0,0,0,0,0,0,0,0,0
262,1100000.0,660.0,8.0,4.0,1.0,36.7300765828194,10.2806760068401,13.8401541619669,1,0,1,1,0,0,0,1,1,1
263,790000.0,654.0,7.0,3.0,1.0,36.57724,10.34246,30.8152660477654,0,0,0,0,0,0,0,0,0,0
264,1420000.0,650.0,4.0,2.0,1.0,35.832439,10.622471,117.273190424209,0,0,0,0,0,0,0,0,1,0
265,1130000.0,640.0,8.0,3.0,1.0,36.57724,10.34246,30.8152660477654,1,0,0,1,0,0,0,1,1,1
266,1800000.0,613.0,6.0,6.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,0,0,0,0,1,1
267,8000.0,600.0,7.0,4.0,1.0,36.876389,10.325278,17.7221901283016,1,0,1,0,1,0,0,0,1,1
269,2000000.0,578.0,5.0,3.0,0.0,36.845235,10.164723,4.6317218774898,0,0,0,0,0,0,0,0,0,0
271,4500000.0,500.0,5.0,4.0,2.0,36.8566,10.3258,16.956028959712,1,0,1,0,0,0,0,1,1,1
272,1200000.0,500.0,5.0,4.0,1.0,34.47114,10.42259,256.895601216844,1,0,0,0,1,0,1,1,1,1
273,890000.0,500.0,7.0,3.0,1.0,36.876389,10.325278,17.7221901283016,1,0,0,0,0,0,0,1,1,1
274,495000.0,500.0,4.0,2.0,1.0,36.8094099,9.9089889,30.3035267006511,1,0,0,0,1,0,0,1,1,1
275,469000.0,500.0,4.0,3.0,2.0,33.8075978,10.8451467,336.063533301856,1,0,0,0,1,0,0,0,0,0
278,750000.0,499.0,7.0,2.0,1.0,36.954444,10.191389,16.228614774176,1,0,0,0,0,0,0,1,1,0
279,650000.0,495.0,7.0,2.0,0.0,36.814748,10.1558086,2.99599074292579,0,0,0,0,0,0,0,0,0,0
280,1100000.0,485.0,4.0,3.0,2.0,36.40108,10.61457,65.4597220191691,1,0,0,0,1,0,0,1,1,1
281,900000.0,483.0,6.0,3.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,0,0,0,1,1,1
282,1700000.0,470.0,6.0,3.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,0,0,1,1,1,1
283,1850000.0,463.0,7.0,4.0,1.0,36.8625,10.19556,6.32498837542227,1,0,0,0,1,0,0,1,1,1
284,580000.0,458.0,4.0,2.0,1.0,36.88833,10.27417,13.6515294537323,1,0,0,0,0,0,0,0,0,0
